sdg4N-H4BR0	2025-01-31 Week 3 - Session 4 - TDS Jan 25	9934.0
6VfrL5b8lLc	2025-01-30 Week 3 - Session 3 - TDS Jan 25	9306.0
EPiVIP97fzI	2025-01-29 Week 3 - Session 2 - TDS Jan 25	5284.0
lmSMQ5LWa30	2025-01-28 Week 3 - Session 1 - TDS Jan 25	7234.0
TxGY540ru3A	2025-01-23 Week 2 - Session 4 - TDS Jan 25	7505.0
QnLi-C_LiXk	2025-01-22 Week 2 - Session 3 - TDS Jan 25	4758.0
0e0RhXREnxU	2025-01-21 Week 2 - Session 2 - TDS Jan 25	8148.0
aJnygTpma7M	2025-01-20 Week 2 - Session 1 - TDS Jan 25	7430.0
hG5WqtbpfkI	2025-01-17 Week 1 - Session 2 - TDS Jan 25	8227.0
1H5Aq7HjqwQ	2025-01-16 Week 1 - Session 1 - TDS Jan 25	7192.0
VTBwpPT3A3U	2025-01-15 Introduction to Tools for Data Science Jan 25	4726.0
HsfxebvUAH4	Mock QP - TA Session - TDS   2024 12 19 18 51	8701.0
ob_OO9chM-o	Project 2   TA's Session   TDS   2024 12 05 19 52	10833.0
gJyrKw3ThXo	TA's Session   TDS   2024 12 05 19 52 GMT+05 30   Recording	10833.0
TPh1srfrWDc	ROE Session   TDS   2024 11 16 19 52	4392.0
ifr24jckGxU	TA's Session   TDS – 2024 11 07 19 58 GMT+05 30 – How to hack Project 1 and possibly ROE, pdf scrapi	8057.0
FOCsSa7nRCg	ROE Session   TDS   2024 11 15 19 53	7254.0
hx0BpZT1ILQ	TA's Session   TDS – 2024 11 10 19 49 GMT+05 30 – Recording	5966.0
FU3cuppNuy8	TA's Session   TDS   2024 11 14 19 54	6738.0
7tggFDMXWi8	TA's Session   TDS – 2024 11 04 16 56 IST – Recording	6935.0
V97UfXmtTOU	TA's Session   TDS – 2024 10 27 19 55 IST – Recording	6327.0
LaR6fK22HEw	TA's Session   TDS – 2024 10 24 19 50 IST – Recording 2	9685.0
oqXfJKa8_ro	TA's Session   TDS – 2024-10-20 19:50 IST – Recording	7145.0
lV3i2fB8wbk	TAs Session - 2024 10 17 20:09:44	6625.0
Z31q3IYTTps	TA's Session   TDS – 2024 10 13 19 49 IST – Recording	7900.0
Ery2oia9vMo	TA's Session   TDS – 2024 10 06 19 54 IST – Recording	5726.0
PNBZa74Gx7s	TA's Session   TDS – 2024 09 29 19 49 IST – Recording	6023.0
NbrQTc03k04	TA Session 29th August: Revision: Modules 7 to 9, CSS selectors, Javascript	5107.0
EXo2DTLgxfU	TA Session 25th August: Revision: Modules 4 to 6	6693.0
-_6312YVVM8	TA Session 22 August: Mock and End Term, Revision: Modules 1 to 3	7580.0
Gf85Cw2hwEU	TA Session 19 August: Streamlit, Heroku	6455.0
fpxvSk7Qa_I	TA Session 19 July: ROE Survival : Part 2	8364.0
23Ty7oaEtq4	TA Session 18 July: The best ROE Survival Strategies, Tricks and Tips: Part 1	7923.0
ELZf0n_0u9w	"TA session 12 July : week 5 , LLM API and embedding"	6880.0
MQgOy5RNNz0	TA session 14 July : ROE intro and strategy	4531.0
3OdReZsvi2w	TA Session 11 July: LLM APi Setup and Use	10099.0
ce18AYM71Y8	TA Session 7 July: Project Discussion, and Excel Filters, Slope Regression	6713.0
97BfmXO0i7E	TA Session 4 July: More Pandas, Parquet processing, Forecast.ETS, Database Processing and Week 4 GA	6498.0
Mmj6GE-zymE	TA Session 30 June : More complex webscraping	7559.0
D0b4n1k2K5I	TA Session 27 June : Processing files with Pandas, Open Refine and Week 3 Graded Assignment	6668.0
uKvonP6TKzk	TA session 20 June : Week 2 concepts ,API, JSON, PDF scraping and GA discussion	9146.0
KkHpfaIJN90	A session 23 June : Web scraping with cookies and understanding JSON	7059.0
IZe16QtSYtw	TA Session 16 June : Introduction to HTML and web scraping	7635.0
8DC2d5sLgno	TA session 13 June : Introduction and week 1,2 recap	7378.0
356zqogHPnw	ET revision : Attribute related to Anonymization and autocorrelation plot	3732.0
BSFnjDbCIJE	TA session : PYQ April 23 discussion part - 2	7743.0
TxCA22mFuXc	TA session : PYQ April 23 discussion part - 1	6292.0
JdxqIUBmuic	TA session  : PYQ Dec 23 discussion	4324.0
2miaPi6k2w0	05 ROE revision session jan 24	10617.0
8S_jvsjtaYg	04 - XML intro and scraping	7422.0
I3auyTYORTs	02 - Fundamentals of web scraping with urllib and BeautifulSoup	5868.0
DryMIxMf3VU	03 - Intermediate web scraping use of cookies	8390.0
cAriusuJsmw	01 -  Intro to Web scraping and HTML	5622.0
s9zNQoYNct8	Live Session - 2	1747.0
